IN,India,IN21,Odisha,16312,"Balija (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16312.jpg,Y,81170,81170,,,,,
IN,India,IN21,Odisha,21089,"Balija Bogam",1,tel,Telugu,5,Hinduism,,Y,1540,1540,,,,,
IN,India,IN21,Odisha,21090,"Balija Bolla",1,tel,Telugu,5,Hinduism,,Y,9020,9020,,,,,
IN,India,IN21,Odisha,21091,"Balija Dasari",1,kan,Kannada,5,Hinduism,,Y,2510,2510,,,,,
IN,India,IN21,Odisha,21093,"Balija Jakkula",1,tel,Telugu,5,Hinduism,,Y,47230,47230,,,,,
IN,India,IN21,Odisha,19688,"Bania Agarwal",1,hin,Hindi,5,Hinduism,p19688.jpg,Y,45680,42850,,,,,2730
IN,India,IN21,Odisha,19689,"Bania Agrahari",1,hin,Hindi,5,Hinduism,p19689.jpg,Y,90,90,,,,,
IN,India,IN21,Odisha,19691,"Bania Bais",1,hin,Hindi,5,Hinduism,p19691.jpg,Y,32210,32210,,,,,
IN,India,IN21,Odisha,19693,"Bania Barnawar",1,hin,Hindi,5,Hinduism,,Y,1270,1270,,,,,
IN,India,IN21,Odisha,19697,"Bania Gahoi",1,hin,Hindi,5,Hinduism,p19697.jpg,Y,1340,1330,,,,,10
IN,India,IN21,Odisha,19698,"Bania Gandha Banik",1,ben,Bengali,5,Hinduism,p19698.jpg,Y,10600,10600,,,,,
IN,India,IN21,Odisha,20342,"Bania Golapurab",1,hin,Hindi,5,Hinduism,,Y,40,10,,,,,30
IN,India,IN21,Odisha,19700,"Bania Jaiswal",1,hin,Hindi,8,"Other / Small",p19700.jpg,Y,600,520,,,,,80
IN,India,IN21,Odisha,19702,"Bania Kasarwani",1,hin,Hindi,5,Hinduism,p19702.jpg,Y,3340,3340,,,,,
IN,India,IN21,Odisha,19703,"Bania Kasaundhan",1,hin,Hindi,5,Hinduism,p19703.jpg,Y,2440,2440,,,,,
IN,India,IN21,Odisha,19704,"Bania Khandelwal",1,hin,Hindi,5,Hinduism,,Y,680,470,,,,,200
IN,India,IN21,Odisha,19705,"Bania Khatri",1,ben,Bengali,5,Hinduism,,Y,2010,2010,,,,,
IN,India,IN21,Odisha,19707,"Bania Komti",1,tel,Telugu,5,Hinduism,p19707.jpg,Y,10370,10270,,,,,100
IN,India,IN21,Odisha,19711,"Bania Mahajan",1,hin,Hindi,5,Hinduism,,Y,2950,2950,,,,,
IN,India,IN21,Odisha,19712,"Bania Mahesri",1,hin,Hindi,5,Hinduism,p19712.jpg,Y,3570,3230,,,,,340
IN,India,IN21,Odisha,19717,"Bania Nima",1,hin,Hindi,8,"Other / Small",p19717.jpg,Y,60,60,,,,,
IN,India,IN21,Odisha,19718,"Bania Oswal",1,hin,Hindi,8,"Other / Small",p19718.jpg,Y,1990,1260,,,,,740
IN,India,IN21,Odisha,19719,"Bania Porwal",1,hin,Hindi,5,Hinduism,p19719.jpg,Y,1690,1330,,,,,350
IN,India,IN21,Odisha,19721,"Bania Rauniar",1,hin,Hindi,5,Hinduism,p19721.jpg,Y,1910,1910,,,,,
IN,India,IN21,Odisha,19722,"Bania Saraogi",1,hin,Hindi,8,"Other / Small",,Y,290,20,,,,,260
IN,India,IN21,Odisha,19723,"Bania Srimali",1,guj,Gujarati,5,Hinduism,p19723.jpg,Y,470,470,,,,,
IN,India,IN21,Odisha,16318,"Bania unspecified",1,hin,Hindi,5,Hinduism,p16318.jpg,Y,287500,280930,,,,,6800
