ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN07,Delhi,16152,Abdul,1,urd,Urdu,6,Islam,p16152.jpg,Y,360,,360,,,,
IN,India,IN07,Delhi,16158,"Ad Dharmi",1,pan,"Punjabi, Eastern",5,Hinduism,p16158.jpg,N,7280,6520,,140,,630,
IN,India,IN07,Delhi,16162,"Adi Andhra",1,tel,Telugu,5,Hinduism,p16162.jpg,N,810,810,,,,,
IN,India,IN07,Delhi,16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,6770,6770,,,,,
IN,India,IN07,Delhi,21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,440,,,,440,,
IN,India,IN07,Delhi,16166,"Adi Karnataka",1,kan,Kannada,5,Hinduism,p16166.jpg,N,550,550,,,,,
IN,India,IN07,Delhi,21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,690,690,,,,,
IN,India,IN07,Delhi,16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,1540,1540,,,,,
IN,India,IN07,Delhi,16174,"Agariya (Hindu traditions)",1,agi,Agariya,5,Hinduism,p16174.jpg,N,3290,3290,,,,,
IN,India,IN07,Delhi,19163,"Ager (Hindu traditions)",1,kan,Kannada,5,Hinduism,,Y,1440,1440,,,,,
IN,India,IN07,Delhi,16180,Agri,1,mar,Marathi,5,Hinduism,p16180.jpg,Y,760,760,,,,,
IN,India,IN07,Delhi,16182,Aguri,1,ben,Bengali,5,Hinduism,p16182.jpg,N,340,340,,,,,
IN,India,IN07,Delhi,16186,Aheria,1,hin,Hindi,5,Hinduism,p16186.jpg,Y,22420,22380,,,,50,
IN,India,IN07,Delhi,19477,Ahmadi,1,urd,Urdu,6,Islam,p19477.jpg,Y,10360,,10360,,,,
IN,India,IN07,Delhi,17333,"Alambadi Kurichchan",1,kfh,Kurichiya,5,Hinduism,p17333.jpg,N,110,110,,,,,
IN,India,IN07,Delhi,16201,Alia,1,ory,Odia,5,Hinduism,,Y,100,100,,,,,
IN,India,IN07,Delhi,16207,Ambalavasi,1,mal,Malayalam,5,Hinduism,p16207.jpg,N,250,250,,,,,
IN,India,IN07,Delhi,16208,"Ambattan (Hindu traditions)",1,tam,Tamil,5,Hinduism,p16208.jpg,Y,280,280,,,,,
IN,India,IN07,Delhi,16211,Anal,3,anm,Anal,1,Christianity,p16211.jpg,N,100,,,,100,,
IN,India,IN07,Delhi,16215,Andh,1,mar,Marathi,5,Hinduism,p16215.jpg,Y,220,220,,,,,
IN,India,IN07,Delhi,16219,Angami,3,njm,"Naga, Angami",1,Christianity,p16219.jpg,N,240,,,,240,,
IN,India,IN07,Delhi,10327,Anglo,3,eng,English,1,Christianity,,N,19500,,,,19500,,
IN,India,IN07,Delhi,16221,Ansari,1,urd,Urdu,6,Islam,p16221.jpg,Y,94550,,94550,,,,
IN,India,IN07,Delhi,16223,Ao,3,njo,"Naga, Ao",1,Christianity,p16223.jpg,N,240,,,,240,,
IN,India,IN07,Delhi,10375,Arab,1,acm,"Arabic, Mesopotamian",6,Islam,p10375.jpg,Y,330,,330,,,,
IN,India,IN07,Delhi,16951,"Arain (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16951.jpg,Y,77410,77410,,,,,
IN,India,IN07,Delhi,16228,"Arain (Muslim traditions)",1,urd,Urdu,6,Islam,p16228.jpg,Y,1200,,1200,,,,
IN,India,IN07,Delhi,18158,"Arain (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",,Y,2080,,,,,2080,
IN,India,IN07,Delhi,16231,Arasar,1,mal,Malayalam,5,Hinduism,,N,120,120,,,,,
IN,India,IN07,Delhi,16250,Arayan,1,mal,Malayalam,5,Hinduism,,N,710,710,,,,,
IN,India,IN07,Delhi,17559,Arleng,2,mjw,Karbi,5,Hinduism,p17559.jpg,N,150,60,,,80,,
IN,India,IN07,Delhi,16239,"Arora (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16239.jpg,Y,1456300,1456000,,,,,1240
IN,India,IN07,Delhi,16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,15590,,,,,15590,
IN,India,IN07,Delhi,16242,Arunthathiyar,1,tam,Tamil,5,Hinduism,p16242.jpg,Y,260,260,,,,,
IN,India,IN07,Delhi,16245,"Arwa Mala",1,tam,Tamil,5,Hinduism,p16245.jpg,Y,140,140,,,,,
IN,India,IN07,Delhi,10461,"Assamese (Muslim traditions)",1,asm,Assamese,6,Islam,p10461.jpg,Y,490,,490,,,,
IN,India,IN07,Delhi,16258,Atari,1,urd,Urdu,6,Islam,,Y,190,,190,,,,
IN,India,IN07,Delhi,16332,"Badhai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16332.jpg,Y,960,960,,,,,
IN,India,IN07,Delhi,16273,"Badhi (Hindu traditions)",1,hin,Hindi,5,Hinduism,,Y,2500,2500,,,,,
IN,India,IN07,Delhi,16286,Bagata,1,tel,Telugu,5,Hinduism,p16286.jpg,N,90,90,,,,,
IN,India,IN07,Delhi,18327,Bagdi,1,hin,Hindi,5,Hinduism,p18327.jpg,Y,210,210,,,,,
IN,India,IN07,Delhi,16281,"Bagdi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16281.jpg,Y,1940,1940,,,,,
IN,India,IN07,Delhi,10564,Baha'i,1,hin,Hindi,8,"Other / Small",p10564.jpg,Y,3210,,,,,,3210
IN,India,IN07,Delhi,16288,"Bahelia (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16288.jpg,Y,430,430,,,,,
IN,India,IN07,Delhi,20279,"Bahna (Hindu traditions)",1,hin,Hindi,5,Hinduism,p20279.jpg,Y,200,200,,,,,
IN,India,IN07,Delhi,16295,"Baidya (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16295.jpg,N,760,760,,,,,
IN,India,IN07,Delhi,16297,"Bairagi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16297.jpg,Y,2470,2470,,,,,
IN,India,IN07,Delhi,16298,Bairwa,1,hin,Hindi,5,Hinduism,p16298.jpg,Y,44320,44320,,,,,
IN,India,IN07,Delhi,16309,"Balai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16309.jpg,N,116530,116290,,100,,90,
IN,India,IN07,Delhi,16312,"Balija (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16312.jpg,Y,470,470,,,,,
IN,India,IN07,Delhi,11684,Baloch,1,urd,Urdu,6,Islam,p11684.jpg,Y,1220,,1220,,,,
IN,India,IN07,Delhi,19688,"Bania Agarwal",1,hin,Hindi,5,Hinduism,p19688.jpg,Y,341710,282990,,,,,58870
IN,India,IN07,Delhi,19689,"Bania Agrahari",1,hin,Hindi,5,Hinduism,p19689.jpg,Y,6790,6790,,,,,
IN,India,IN07,Delhi,19693,"Bania Barnawar",1,hin,Hindi,5,Hinduism,,Y,3150,3150,,,,,
IN,India,IN07,Delhi,21671,"Bania Bhatia",1,guj,Gujarati,5,Hinduism,,Y,180,180,,,,,
IN,India,IN07,Delhi,19696,"Bania Dhusar",1,hin,Hindi,5,Hinduism,,Y,3750,3750,,,,,
IN,India,IN07,Delhi,19697,"Bania Gahoi",1,hin,Hindi,5,Hinduism,p19697.jpg,Y,6670,6270,,,,,390
IN,India,IN07,Delhi,19699,"Bania Gujar",1,guj,Gujarati,5,Hinduism,,Y,6640,6640,,,,,
IN,India,IN07,Delhi,19700,"Bania Jaiswal",1,hin,Hindi,8,"Other / Small",p19700.jpg,Y,41260,3760,,,,,37540
IN,India,IN07,Delhi,19702,"Bania Kasarwani",1,hin,Hindi,5,Hinduism,p19702.jpg,Y,7630,7630,,,,,
IN,India,IN07,Delhi,19703,"Bania Kasaundhan",1,hin,Hindi,5,Hinduism,p19703.jpg,Y,9340,9340,,,,,
IN,India,IN07,Delhi,19704,"Bania Khandelwal",1,hin,Hindi,5,Hinduism,,Y,1010,540,,,,,480
IN,India,IN07,Delhi,19705,"Bania Khatri",1,ben,Bengali,5,Hinduism,,Y,200,200,,,,,
IN,India,IN07,Delhi,19708,"Bania Lad",1,guj,Gujarati,5,Hinduism,p19708.jpg,Y,2180,2180,,,,,
IN,India,IN07,Delhi,19711,"Bania Mahajan",1,hin,Hindi,5,Hinduism,,Y,4910,4910,,,,,
IN,India,IN07,Delhi,19712,"Bania Mahesri",1,hin,Hindi,5,Hinduism,p19712.jpg,Y,6720,6720,,,,,
IN,India,IN07,Delhi,19713,"Bania Mahur",1,hin,Hindi,5,Hinduism,p19713.jpg,Y,43810,43810,,,,,
IN,India,IN07,Delhi,19715,"Bania Modh",1,guj,Gujarati,5,Hinduism,,Y,1620,1620,,,,,
IN,India,IN07,Delhi,19716,"Bania Nagar",1,guj,Gujarati,5,Hinduism,,Y,660,660,,,,,
IN,India,IN07,Delhi,19717,"Bania Nima",1,hin,Hindi,8,"Other / Small",p19717.jpg,Y,2640,420,,,,,2220
IN,India,IN07,Delhi,19718,"Bania Oswal",1,hin,Hindi,8,"Other / Small",p19718.jpg,Y,15850,3910,,,,,11930
IN,India,IN07,Delhi,19719,"Bania Porwal",1,hin,Hindi,5,Hinduism,p19719.jpg,Y,8540,5200,,,,,3350
