ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN34,Bihar,16152,Abdul,1,urd,Urdu,6,Islam,p16152.jpg,Y,31270,,31270,,,,
IN,India,IN34,Bihar,16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,50,50,,,,,
IN,India,IN34,Bihar,21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,10,,,,10,,
IN,India,IN34,Bihar,16178,Aghori,1,hin,Hindi,5,Hinduism,p16178.jpg,Y,15280,15280,,,,,
IN,India,IN34,Bihar,16182,Aguri,1,ben,Bengali,5,Hinduism,p16182.jpg,N,970,970,,,,,
IN,India,IN34,Bihar,19477,Ahmadi,1,urd,Urdu,6,Islam,p19477.jpg,Y,1100,,1100,,,,
IN,India,IN34,Bihar,16206,Amat,1,hin,Hindi,5,Hinduism,p16206.jpg,Y,273430,273430,,,,,
IN,India,IN34,Bihar,10327,Anglo,3,eng,English,1,Christianity,,N,80,,,,80,,
IN,India,IN34,Bihar,16221,Ansari,1,urd,Urdu,6,Islam,p16221.jpg,Y,2316650,,2316650,,,,
IN,India,IN34,Bihar,10375,Arab,1,acm,"Arabic, Mesopotamian",6,Islam,p10375.jpg,Y,10,,10,,,,
IN,India,IN34,Bihar,16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,840,,,,,840,
IN,India,IN34,Bihar,16257,Asur,2,asr,Asuri,5,Hinduism,,N,4900,4770,50,,,,20
IN,India,IN34,Bihar,16332,"Badhai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16332.jpg,Y,1097570,1097370,,190,,,
IN,India,IN34,Bihar,16333,"Badhai (Muslim traditions)",1,urd,Urdu,6,Islam,p16333.jpg,Y,37410,,37410,,,,
IN,India,IN34,Bihar,16281,"Bagdi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16281.jpg,Y,10160,10160,,,,,
IN,India,IN34,Bihar,16295,"Baidya (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16295.jpg,N,11150,11150,,,,,
IN,India,IN34,Bihar,16296,Baiga,1,hin,Hindi,5,Hinduism,p16296.jpg,N,590,500,60,,,,
IN,India,IN34,Bihar,16297,"Bairagi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16297.jpg,Y,277780,277710,,70,,,
IN,India,IN34,Bihar,16303,"Bajikar (Muslim traditions)",1,ben,Bengali,6,Islam,,Y,1040,,1040,,,,
IN,India,IN34,Bihar,16312,"Balija (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16312.jpg,Y,380,380,,,,,
IN,India,IN34,Bihar,19688,"Bania Agarwal",1,hin,Hindi,5,Hinduism,p19688.jpg,Y,58270,56680,,,,,1590
IN,India,IN34,Bihar,19689,"Bania Agrahari",1,hin,Hindi,5,Hinduism,p19689.jpg,Y,19010,19010,,,,,
IN,India,IN34,Bihar,19691,"Bania Bais",1,hin,Hindi,5,Hinduism,p19691.jpg,Y,55520,55520,,,,,
IN,India,IN34,Bihar,20339,"Bania Baranwal",1,hin,Hindi,5,Hinduism,p20339.jpg,Y,40,40,,,,,
IN,India,IN34,Bihar,19693,"Bania Barnawar",1,hin,Hindi,5,Hinduism,,Y,35820,35820,,,,,
IN,India,IN34,Bihar,19697,"Bania Gahoi",1,hin,Hindi,5,Hinduism,p19697.jpg,Y,8580,8560,,,,,10
IN,India,IN34,Bihar,19698,"Bania Gandha Banik",1,ben,Bengali,5,Hinduism,p19698.jpg,Y,4330,4330,,,,,
IN,India,IN34,Bihar,19700,"Bania Jaiswal",1,hin,Hindi,8,"Other / Small",p19700.jpg,Y,530,480,,,,,50
IN,India,IN34,Bihar,19702,"Bania Kasarwani",1,hin,Hindi,5,Hinduism,p19702.jpg,Y,51290,51290,,,,,
IN,India,IN34,Bihar,19703,"Bania Kasaundhan",1,hin,Hindi,5,Hinduism,p19703.jpg,Y,12430,12430,,,,,
IN,India,IN34,Bihar,19705,"Bania Khatri",1,ben,Bengali,5,Hinduism,,Y,57640,57640,,,,,
IN,India,IN34,Bihar,19713,"Bania Mahur",1,hin,Hindi,5,Hinduism,p19713.jpg,Y,29620,29620,,,,,
IN,India,IN34,Bihar,19718,"Bania Oswal",1,hin,Hindi,8,"Other / Small",p19718.jpg,Y,340,200,,,,,130
IN,India,IN34,Bihar,19720,"Bania Rastaogi",1,hin,Hindi,5,Hinduism,,Y,1980,1980,,,,,
IN,India,IN34,Bihar,19721,"Bania Rauniar",1,hin,Hindi,5,Hinduism,p19721.jpg,Y,80200,80200,,,,,
IN,India,IN34,Bihar,21682,"Bania Sinduria",1,hin,Hindi,5,Hinduism,p21682.jpg,Y,28100,28100,,,,,
IN,India,IN34,Bihar,19724,"Bania Subarna Banik",1,ben,Bengali,5,Hinduism,p19724.jpg,Y,160,160,,,,,
IN,India,IN34,Bihar,19726,"Bania Ummad",1,hin,Hindi,5,Hinduism,,Y,1250,1230,,,,,10
IN,India,IN34,Bihar,16318,"Bania unspecified",1,hin,Hindi,5,Hinduism,p16318.jpg,Y,808910,798170,,,,,10600
IN,India,IN34,Bihar,16315,"Banjara (Hindu traditions)",1,lmn,Lambadi,5,Hinduism,p16315.jpg,N,3130,3130,,,,,
IN,India,IN34,Bihar,17482,"Banjara (Muslim traditions)",1,urd,Urdu,6,Islam,p17482.jpg,Y,80,,80,,,,
IN,India,IN34,Bihar,16323,"Bansphor (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16323.jpg,Y,49610,49610,,,,,
IN,India,IN34,Bihar,16325,Bantar,1,mai,Maithili,5,Hinduism,p16325.jpg,Y,160470,160370,,10,90,,
IN,India,IN34,Bihar,16326,Baori,1,hin,Hindi,5,Hinduism,p16326.jpg,Y,250,250,,,,,
IN,India,IN34,Bihar,16329,Bardai,1,bho,Bhojpuri,5,Hinduism,,Y,7540,7540,,,,,
IN,India,IN34,Bihar,16334,"Bari (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16334.jpg,Y,271030,271030,,,,,
IN,India,IN34,Bihar,16341,Bathudi,1,ory,Odia,5,Hinduism,p16341.jpg,Y,20,20,,,,,
IN,India,IN34,Bihar,10736,Bauri,1,ben,Bengali,5,Hinduism,p10736.jpg,N,2660,2660,,,,,
IN,India,IN34,Bihar,16348,"Bawaria (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16348.jpg,Y,80,,,,,80,
IN,India,IN34,Bihar,16367,"Bedia (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16367.jpg,Y,2110,2110,,,,,
IN,India,IN34,Bihar,16369,Beg,1,ben,Bengali,6,Islam,,Y,2910,,2910,,,,
