ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN39,Uttarakhand,17580,"Kalwar (Muslim traditions)",1,urd,Urdu,6,Islam,p17580.jpg,Y,390,,390,,,,
IN,India,IN39,Uttarakhand,21148,"Kalwar Iraqi (Hindu traditions)",1,hin,Hindi,5,Hinduism,,Y,380,380,,,,,
IN,India,IN39,Uttarakhand,21149,"Kalwar Iraqi (Muslim traditions)",1,urd,Urdu,6,Islam,,Y,280,,280,,,,
IN,India,IN39,Uttarakhand,21150,"Kalwar Jaiswal",1,hin,Hindi,5,Hinduism,p21150.jpg,Y,1130,1130,,,,,
IN,India,IN39,Uttarakhand,17581,"Kamboh (Muslim traditions)",1,urd,Urdu,6,Islam,p17581.jpg,Y,1940,,1940,,,,
IN,India,IN39,Uttarakhand,18124,"Kamboh (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18124.jpg,Y,6080,,,,,6080,
IN,India,IN39,Uttarakhand,17069,Kami,1,npi,Nepali,5,Hinduism,p17069.jpg,N,2760,2750,,10,,,
IN,India,IN39,Uttarakhand,12487,Kanaura,1,kfk,Kinnauri,5,Hinduism,p12487.jpg,Y,710,710,,,,,
IN,India,IN39,Uttarakhand,17219,Kandra,1,ory,Odia,5,Hinduism,,N,30,30,,,,,
IN,India,IN39,Uttarakhand,17081,"Kanjar (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17081.jpg,Y,5550,5550,,,,,
IN,India,IN39,Uttarakhand,17582,"Kanjar (Muslim traditions)",1,urd,Urdu,6,Islam,,Y,220,,220,,,,
IN,India,IN39,Uttarakhand,17085,Kaora,1,ben,Bengali,5,Hinduism,p17085.jpg,N,120,120,,,,,
IN,India,IN39,Uttarakhand,17087,Kapali,1,ben,Bengali,5,Hinduism,p17087.jpg,Y,70,70,,,,,
IN,India,IN39,Uttarakhand,17088,Kapariya,1,hin,Hindi,5,Hinduism,p17088.jpg,Y,220,210,,,,,
IN,India,IN39,Uttarakhand,19597,"Kapu unspecified",1,tel,Telugu,5,Hinduism,p19597.jpg,Y,50,50,,,,,
IN,India,IN39,Uttarakhand,17107,Karwal,1,hin,Hindi,5,Hinduism,p17107.jpg,Y,250,240,,,,,
IN,India,IN39,Uttarakhand,12558,"Kashmiri (Muslim traditions)",1,kas,Kashmiri,6,Islam,p12558.jpg,Y,2670,,2670,,,,
IN,India,IN39,Uttarakhand,17124,"Kayastha (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17124.jpg,Y,91430,91430,,,,,
IN,India,IN39,Uttarakhand,21325,"Kayastha Mathur",1,hin,Hindi,5,Hinduism,,Y,2040,2040,,,,,
IN,India,IN39,Uttarakhand,21326,"Kayastha Saksena",1,hin,Hindi,5,Hinduism,,Y,3080,3080,,,,,
IN,India,IN39,Uttarakhand,21327,"Kayastha Sribastab",1,hin,Hindi,5,Hinduism,p21327.jpg,Y,4980,4980,,,,,
IN,India,IN39,Uttarakhand,17157,Khairwar,1,ben,Bengali,5,Hinduism,p17157.jpg,N,290,290,,,,,
IN,India,IN39,Uttarakhand,17150,Khandait,1,ory,Odia,5,Hinduism,p17150.jpg,Y,140,140,,,,,
IN,India,IN39,Uttarakhand,17288,Kharadi,1,hin,Hindi,5,Hinduism,,Y,640,640,,,,,
IN,India,IN39,Uttarakhand,17182,Kharot,1,hin,Hindi,5,Hinduism,,Y,390,390,,,,,
IN,India,IN39,Uttarakhand,17158,Kharwar,1,hin,Hindi,5,Hinduism,p17158.jpg,N,1270,1270,,,,,
IN,India,IN39,Uttarakhand,17301,"Khatik (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17301.jpg,Y,9940,9890,,40,,,
IN,India,IN39,Uttarakhand,17596,"Khatik (Muslim traditions)",1,urd,Urdu,6,Islam,,Y,280,,280,,,,
IN,India,IN39,Uttarakhand,17161,"Khatri (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17161.jpg,Y,20660,20660,,,,,
IN,India,IN39,Uttarakhand,18125,"Khatri (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18125.jpg,Y,4430,,,,,4430,
IN,India,IN39,Uttarakhand,17188,"Khumra (Hindu traditions)",1,hin,Hindi,5,Hinduism,,Y,540,540,,,,,
IN,India,IN39,Uttarakhand,17195,Kisan,1,hin,Hindi,5,Hinduism,p17195.jpg,N,13370,13360,10,,,,
IN,India,IN39,Uttarakhand,17236,"Koiri (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17236.jpg,Y,550,550,,,,,
IN,India,IN39,Uttarakhand,17239,Kol,1,hin,Hindi,5,Hinduism,p17239.jpg,Y,14230,14120,,60,,10,
IN,India,IN39,Uttarakhand,17247,"Koli (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17247.jpg,Y,47750,47340,,180,140,20,
