ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN35,"Madhya Pradesh",16158,"Ad Dharmi",1,pan,"Punjabi, Eastern",5,Hinduism,p16158.jpg,N,240,240,,,,,
IN,India,IN35,"Madhya Pradesh",16162,"Adi Andhra",1,tel,Telugu,5,Hinduism,p16162.jpg,N,80,80,,,,,
IN,India,IN35,"Madhya Pradesh",16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,1470,1470,,,,,
IN,India,IN35,"Madhya Pradesh",21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,40,,,,40,,
IN,India,IN35,"Madhya Pradesh",16166,"Adi Karnataka",1,kan,Kannada,5,Hinduism,p16166.jpg,N,80,80,,,,,
IN,India,IN35,"Madhya Pradesh",21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,110,110,,,,,
IN,India,IN35,"Madhya Pradesh",16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,140,140,,,,,
IN,India,IN35,"Madhya Pradesh",16174,"Agariya (Hindu traditions)",1,agi,Agariya,5,Hinduism,p16174.jpg,N,48870,47410,40,,200,,1180
IN,India,IN35,"Madhya Pradesh",16178,Aghori,1,hin,Hindi,5,Hinduism,p16178.jpg,Y,35820,35820,,,,,
IN,India,IN35,"Madhya Pradesh",16180,Agri,1,mar,Marathi,5,Hinduism,p16180.jpg,Y,3190,3190,,,,,
IN,India,IN35,"Madhya Pradesh",16186,Aheria,1,hin,Hindi,5,Hinduism,p16186.jpg,Y,1690,1690,,,,,
IN,India,IN35,"Madhya Pradesh",19477,Ahmadi,1,urd,Urdu,6,Islam,p19477.jpg,Y,12230,,12180,,,,
IN,India,IN35,"Madhya Pradesh",16189,Ahom,1,asm,Assamese,5,Hinduism,p16189.jpg,N,20,20,,,,,
IN,India,IN35,"Madhya Pradesh",16194,Ajna,1,hin,Hindi,5,Hinduism,,Y,49370,49370,,,,,
